timestamp,E_r,E_vr,rho,G_max,E_gap
0.01,0.0,0.0,0.3333976146906763,3.855965495915606,1.1477151978928926
0.02,0.0,0.0,0.20007821531522876,2.943764977414307,0.8862369528145654
0.03,2.1021466476449857e-12,5.596172862653636e-09,0.20007857984336175,2.943764977414307,0.8862364042241565
0.04,5.827024068502538e-10,1.5537540929910268e-06,0.20007660922212944,2.943819067368595,0.8862237138392052
0.05,1.1099152545391813e-09,2.7535268645799868e-06,0.20007804507817165,2.943819067368595,0.8862102079511855
0.060000000000000005,5.832210297693891e-09,1.0518304717262406e-05,0.20007447175398735,2.9438912796196965,0.8862061344999892
0.07,1.2631745840353729e-08,1.889261944139152e-05,0.2000835196771154,2.9440504345556127,0.8862255178337236
0.08,4.8578204421451406e-08,5.6345688129986285e-05,0.20007594962845074,2.9439995979644453,0.8861865667938745
0.09,5.054062293404726e-08,5.911317322054237e-05,0.2000645859106757,2.9439995979644453,0.8861595251560024
0.09999999999999999,1.0327843847785019e-07,9.541977614021109e-05,0.20009692725729006,2.9445407245850914,0.8862379142886003
0.10999999999999999,1.615887501123248e-07,0.00014817319732942418,0.20005220893375236,2.943789606483221,0.8860740529969865
0.11999999999999998,2.900090916493e-07,0.0002333294417194513,0.20007159695402155,2.9437938816126983,0.88617150263287
0.12999999999999998,4.282894945400662e-07,0.00031301788630545005,0.2000363857387501,2.9437981567370453,0.8860742133585678
0.13999999999999999,4.971458099786926e-07,0.00034896696813408547,0.20006593033321657,2.9441801281098203,0.8861358696650086
0.15,6.324580377481656e-07,0.0004126753946859643,0.20007861708589325,2.9445939302350994,0.8862138032670102
0.16,9.989207286811334e-07,0.000594131423880711,0.20004787926383785,2.943365349274587,0.8858356830030609
0.17,1.2730910192945238e-06,0.0007139798431409791,0.20006273080459877,2.9442884454297578,0.8861095421214343
0.18000000000000002,1.2730910192945238e-06,0.0007139798431409791,0.20006273080459877,2.9442884454297578,0.8861095421214343
0.19000000000000003,2.10877368997372e-06,0.0010486262722632085,0.20007845602371518,2.944360656329255,0.8861344597027097
0.20000000000000004,2.3742263427375778e-06,0.0011457975219875093,0.20004189463213817,2.944360656329255,0.8860948192923792
0.21000000000000005,3.1433231420983095e-06,0.001410046235407806,0.20004408415575248,2.944432866420559,0.8861228919457603
0.22000000000000006,4.273869985815044e-06,0.0017819378718877698,0.20006711161732732,2.9444689710637983,0.8860754860953395
0.23000000000000007,4.703844540375351e-06,0.001915874671993796,0.20011915846019865,2.9444689710637983,0.8860845220108207
0.24000000000000007,6.241755372260591e-06,0.0023632422064200926,0.2000761113620417,2.944541179307732,0.8859700951429834
0.25000000000000006,7.67555634083897e-06,0.0027690761261602204,0.20008200040586627,2.944541179307732,0.8865850600154012
0.26000000000000006,9.063243581831893e-06,0.003131509636933873,0.20005314394772572,2.944613385782345,0.8860306324215069
0.2700000000000001,1.0130095369220328e-05,0.0033931729266956107,0.20004177009702132,2.9454091419361617,0.8861011299758073
0.2800000000000001,1.3207631700635791e-05,0.004122065645443667,0.2000435741926754,2.9447216909853475,0.8860945189095679
0.2900000000000001,1.5029224874378458e-05,0.004565095992062107,0.19999865953651413,2.9438665561024866,0.8857372068667009
0.3000000000000001,1.5029224874378458e-05,0.004565095992062107,0.19999865953651413,2.9438665561024866,0.8857372068667009
0.3100000000000001,2.216160188516824e-05,0.0061036195538582945,0.19994651589863094,2.94482998874937,0.8861664642227849
0.3200000000000001,2.242927147989296e-05,0.006160508143803998,0.20000274218214334,2.94482998874937,0.8860818663766793
0.3300000000000001,2.566001998034726e-05,0.006804521298059997,0.20000012972614625,2.9448660858565963,0.8860767671481906
0.34000000000000014,2.6996862741537316e-05,0.007067982714023918,0.20002127312720627,2.9448660858565963,0.8861198184457509
0.35000000000000014,3.331387224504919e-05,0.008260234003408482,0.19995501913981217,2.943892200772486,0.8858053805643737
0.36000000000000015,3.8524434758877376e-05,0.00921466008682906,0.2001310028357602,2.943892200772486,0.8853753038166141
0.37000000000000016,4.26170224115696e-05,0.009944499858742994,0.2000414519551912,2.9450104602799128,0.8859343459286816
0.38000000000000017,4.7792200082317806e-05,0.010822527045488105,0.20004039052416647,2.945046549663411,0.8859256021030941
0.3900000000000002,4.7792200082317806e-05,0.010822527045488105,0.20004039052416647,2.945046549663411,0.8859256021030941
0.4000000000000002,5.9025057772499795e-05,0.012665035740624468,0.20007614441871502,2.9451187222073636,0.8857663952812166
0.4100000000000002,6.315474997250067e-05,0.013304659372084401,0.19995607400864804,2.945154805063993,0.8856884311147655
0.4200000000000002,7.402838629067294e-05,0.015003176174579904,0.20014744641278043,2.946427853888771,0.8863137115146744
0.4300000000000002,7.743332764242968e-05,0.015494700223624291,0.20008681325107103,2.946495740510932,0.8859118870599235
0.4400000000000002,8.681507104611573e-05,0.016883939602652158,0.19999026746629375,2.945226963077921,0.8862922593849959
0.45000000000000023,0.00010160143405747874,0.01895857701525657,0.19989997268076176,2.9453351777659416,0.8855760349802823
0.46000000000000024,0.00010686045623264023,0.019695802409560495,0.19994770343440552,2.9453351777659416,0.8859826252628968
0.47000000000000025,0.0001119502686032303,0.020384378384778475,0.20002349490924815,2.943939188993608,0.8852358651396711
0.48000000000000026,0.0001261015802011068,0.022259368243691582,0.20002382662543564,2.9468350879645784,0.8862688193497732
0.49000000000000027,0.0001405722666898349,0.02415563499813292,0.20002873250955022,2.945443360130358,0.8858295435649327
0.5000000000000002,0.00014804370331373987,0.025088637833688126,0.2001766919504064,2.945443360130358,0.8861882310851886
